,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"/base/argumentmaps/abstract_moral_dispute/particular_instances
","/base/argumentmaps/morally_disputed_activity/instance_of_abstract_moral_dispute
/base/activism/activism_issue/activists",,,,,,,,,,,,,,,,,
"/base/culturalevent/event/entity_involved
","/people/family/country
/royalty/royal_line/kingdom_s_ruled",,,,,,,,,,,,,,,,,
"/organization/organization_scope/organizations_with_this_scope
","/government/political_party/politicians_in_this_party./government/political_party_tenure/politician
/organization/organization/geographic_scope
/organization/organization/headquarters./location/mailing_address/citytown","/organization/organization/headquarters./location/mailing_address/citytown
/organization/organization/geographic_scope",,,,,,,,,,,,,,,,
"/book/written_work/subjects
","/book/book_subject/works
/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy",,,,,,,,,,,,,,,,,
"/film/film/dubbing_performances./film/dubbing_performance/actor
","/film/actor/dubbing_performances./film/dubbing_performance/film
/people/person/places_lived./people/place_lived/location
/base/schemastaging/tv_actor_extra/regular_dubbing_performances./base/schemastaging/tv_star_dubbing_performance/language
/people/person/nationality
/people/person/profession
/people/person/religion",,,,,,,,,,,,,,,,,
"/royalty/chivalric_order_member/belongs_to_order./royalty/chivalric_order_membership/order
","/royalty/order_of_chivalry/recipients./royalty/chivalric_order_membership/recipient
/award/award_category/winners./award/award_honor/award_winner",,,,,,,,,,,,,,,,,
"/location/location/adjoin_s./location/adjoining_relationship/adjoins
","/location/hud_foreclosure_area/estimated_number_of_mortgages./measurement_unit/dated_integer/source
/location/hud_foreclosure_area/estimated_number_foreclosures./measurement_unit/dated_integer/source
/location/statistical_region/rent50_3./measurement_unit/dated_money_value/currency
/location/hud_foreclosure_area/hhuniv./measurement_unit/dated_integer/source
/location/statistical_region/rent50_0./measurement_unit/dated_money_value/currency
/location/administrative_division/second_level_division_of
/location/hud_foreclosure_area/total_residential_addresses./measurement_unit/dated_integer/source
/location/location/containedby
/location/statistical_region/rent50_1./measurement_unit/dated_money_value/currency
/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency
/location/location/time_zones",,,,,,,,,,,,,,,,,
"/medicine/disease/parent_disease
","/medicine/disease/includes_diseases
/medicine/disease/medical_specialties",,,,,,,,,,,,,,,,,
"/people/family_member/family
","/people/family/members
/people/family/country",,,,,,,,,,,,,,,,,
"/film/film/starring./film/performance/actor
","/people/person/nationality
/film/actor/film./film/performance/film
/people/person/profession",,,,,,,,,,,,,,,,,
"/user/coco/science/concepts_theories/parent_concept
","/user/coco/science/concepts_theories/parent_concept
/user/coco/science/concepts_theories/child_concept",,,,,,,,,,,,,,,,,
"/award/competition/instance_of_recurring_competition
","/time/recurring_event/instances
/award/recurring_competition/individual_competitions",,,,,,,,,,,,,,,,,
"/people/profession/specializations
","/people/profession/specialization_of
/people/profession/people_with_this_profession",,,,,,,,,,,,,,,,,
"/royalty/system_of_nobility/titles./royalty/system_title_relationship/title
","/government/government_office_or_title/office_holders./government/government_position_held/jurisdiction_of_office
/royalty/noble_title/used_in./royalty/system_title_relationship/system",,,,,,,,,,,,,,,,,
"/organization/organization_founder/organizations_founded
","/business/employer/employees./business/employment_tenure/person
/organization/organization/headquarters./location/mailing_address/state_province_region
/organization/organization/headquarters./location/mailing_address/citytown",,,,,,,,,,,,,,,,,
"/sports/sports_team_location/teams
","/sports/sports_team/sport
/sports/sports_team/league./sports/sports_league_participation/league
/sports/sports_team/location
/sports/sports_team/colors",,,,,,,,,,,,,,,,,
"/tv/tv_program/genre
","/tv/tv_genre/programs
/base/parody/parodied_subject/parodies",,,,,,,,,,,,,,,,,
"/architecture/structure/architectural_style
","/symbols/namesake/named_after
/architecture/architectural_style/examples",,,,,,,,,,,,,,,,,
"/people/ethnicity/people
","/people/person/profession
/people/person/places_lived./people/place_lived/location
/people/deceased_person/place_of_death",,,,,,,,,,,,,,,,,
"/people/person/nationality
","/military/military_combatant/military_commanders./military/military_command/military_commander
/military/military_combatant/military_conflicts./military/military_combatant_group/conflict",,,,,,,,,,,,,,,,,
