hanged, drawn and quartered	statutory penalty in England for men convicted of high treason
pulmonary embolism	An artery disease characterized by a blockage of the main artery of the lung or one of its branches by a substance that has travelled from elsewhere in the body, e.g. a blood clot.
skeleton	winter sport
2012 Summer Olympics	games of the XXX Olympiad, celebrated in London in 2012
Grammy Lifetime Achievement Award	music award given to individual performers or groups
56th Golden Globe Awards	No description defined
62nd Golden Globe Awards	No description defined
69th Academy Awards	No description defined
canoe racing	competitive forms canoe and kayak racing
Hong Kong Film Award for Best Supporting Actor	film award
urinary bladder cancer	An urinary system cancer that results_in malignant growth located_in the urinary bladder.
54th Primetime Emmy Awards	No description defined
genetic disease	disease that has material basis in genetic variations in the human genome
Goya Award for Best Film	No description defined
60th Primetime Emmy Awards	No description defined
short track speed skating	winter sport
ovarian cancer	female reproductive organ cancer that is located_in the ovary.
Grammy Award for Best Instrumental Soloist(s) Performance (with orchestra)	No description defined
curling	team sport
Saturn Award for Best Writing	award
Grammy Award for Best Dance Recording	music award given for a single dance music recording
Grammy Award for Best Instrumental Soloist Performance (without orchestra)	No description defined
Peabody Award	international awards for excellence in radio and television
28th Golden Globe Awards	No description defined
Golden Globe Award for Best Screenplay	award
Tony Award for Best Actress in a Musical	award
brain tumor	type of tumor
43rd Academy Awards	No description defined
Golden Raspberry Award for Worst Supporting Actress	award
Grammy Award for Best Alternative Music Album	No description defined
Academy Award for Best Production Design	award
Academy Award for Best Animated Short Film	No description defined
Golden Raspberry Award for Worst Screen Couple/Ensemble	award
60th Academy Awards	No description defined
bipolar disorder	human mental illness
56th Primetime Emmy Awards	No description defined
European Film Award for Best Actress	award
obesity	medical condition in which excess body fat has accumulated to the extent that it may have a negative effect on health
Writers Guild of America Awards 2009	No description defined
76th Academy Awards	No description defined
musculoskeletal system disease	disease of anatomical entity that occurs in the muscular and/or skeletal system
nicotine addiction	disease
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Leading Role	award
Screen Actors Guild Award for Outstanding Performance by a Female Actor in a Miniseries or Television Movie	No description defined
61st Primetime Emmy Awards	No description defined
gun	weapon that launches a projectile at high velocity through the confined burning of a propellant
handball	ballgame-team sport
National Board of Review Award for Best Actress	No description defined
27th Academy Awards	No description defined
Broadcast Film Critics Association Award for Best Cast	No description defined
Academy Award for Best Animated Feature	No description defined
Tony Award for Best Actor in a Musical	No description defined
64th Golden Globe Awards	No description defined
yellow fever	viral disease
Golden Globe Award for Best Foreign Language Film	award
female organism	determined sex of an animal or plant. Use Q6581072 for female humans
MTV Movie Award for Best Kiss	No description defined
cystic fibrosis	autosomal recessive disease that is characterized by the buildup of thick, sticky mucus that can damage many organs.
Grammy Award for Best Comedy Album	No description defined
artistic gymnastics	sport
nausea	medical symptom or condition
2006 Winter Olympics	20th edition of Winter Olympics, held in Turin (Italy) in 2006
post-traumatic stress disorder	An anxiety disorder which results from a traumatic experience that results in psychological trauma.
National Society of Film Critics Award for Best Supporting Actress	No description defined
1932 Summer Olympics	games of the X Olympiad, celebrated in Los Angeles in 1932
