Schleswig-Holstein	state in Northern Germany
University of Aberdeen	university in the city of Aberdeen, Scotland
Bradford	city in the City of Bradford, Yorkshire, England
Royal Leamington Spa	spa town in central Warwickshire, England
Aylesbury	town and civil parish in Buckinghamshire, England
listed building in the United Kingdom	collection of protected architectural creations in the United Kingdom
Plymouth	city in Devon, England
Kassel	city in Hesse, Germany
University of Buenos Aires	university in Argentina
Invercargill	city and local authority in New Zealand's Southland region
Mainz	capital of the German state of Rhineland-Palatinate, Germany
King's College London	public research university located in London, United Kingdom
Wuppertal	city in North Rhine-Westphalia, Germany
Ryerson University	public research university located in Toronto, Ontario, Canada
Stoke-on-Trent	city in Staffordshire, England
Pembroke College	college of the University of Cambridge
Berkshire	ceremonial but non-administrative county of England
RMIT University	Australian university
Windsor	town and unparished area in the Royal Borough of Windsor and Maidenhead in Berkshire, England
Grimsby	seaport in Lincolnshire, England
Keble College	college of the University of Oxford
Hamilton	city in Ontario, Canada
Kamloops	city in British Columbia
Derby	city in Derbyshire, in the East Midlands region of England
London	capital of England and the United Kingdom
Chemnitz	city in Germany
University of Amsterdam	university in Amsterdam
University of Dundee	university
Kensington	district within the Royal Borough of Kensington and Chelsea in central London
University College	college of the University of Oxford in England
Saint John	city in New Brunswick, Canada
St Helens	town in Merseyside, England
Wadham College	college of the University of Oxford
Vancouver	largest city in British Columbia, Canada
Ayr	town and former Royal Burgh situated on the west coast of Ayrshire in the Scotland
Gloucester	city and county town of Gloucestershire, United Kingdom
Macclesfield	town in Cheshire, England
Surrey	county of England
Cambridgeshire	ceremonial county of England (use Q21272276 for administrative non-metropolitan county)
Conservatoire de Paris	music school
County Down	county of Northern Ireland
Barrow-in-Furness	town and seaport in the county of Cumbria, England
mayor	head of municipal government such as a town or city
Queen's University Belfast	public research university in Belfast, Northern Ireland
Zeeland	province of the Netherlands
Manchester Metropolitan University	No description defined
Darmstadt	city in Hesse, Germany
