Anthony Horowitz	English novelist and screenwriter
Roger Zelazny	American speculative fiction writer
Dick Cheney	American politician and businessman
7th United States Congress	No description defined
The Surreal Life	No description defined
Bertrand Russell	logician, one of the first analytic philosophers and political activist
Batman Beyond	1999-2001 American television series
Clive Barker	author, film director and visual artist
Timothy Leary	American psychologist
6th United States Congress	No description defined
Daniel Handler	American novelist, children's writer, creator of Lemony Snicket
Andrew Jackson	American general and politician, 7th president of the United States
Kid vs. Kat	television series
Douglas Coupland	Canadian novelist, short story writer, playwright, and graphic designer
Anton Chekhov	Russian dramatist and author, physician
Gene Wolfe	American science fiction and fantasy writer
Ian Fleming	English author, journalist and naval intelligence officer
Girls	American comedy-drama television series
Christopher Wren	English architect
WCW WorldWide	No description defined
Thomas Mann	German novelist, and 1929 Nobel Prize laureate
Surrealism	international cultural movement that began in the early 1920s
John Dewey	American philosopher, psychologist, and educational reformer
Richard Nixon	37th president of the United States of America
Warren G. Harding	American politician, 29th president of the United States (in office from 1921 to 1923)
Search for Tomorrow	television series
Margaret Atwood	Canadian writer
Anne Rice	American writer
Ponyo on the Cliff by the Sea	2008 Japanese animated film directed by Hayao Miyazaki
As the World Turns	television series
Flight of the Conchords	television program
