Scott Baio	actor, television director
Norman Blake	American musician
Dwight Yoakam	American singer
Spike Jonze	American director and actor
Fatboy Slim	British DJ, musician, and record producer
Nicole Richie	American television personality, musician, actress, and author
James Poyser	Musician and songwriter
Bobby McFerrin	American vocalist and conductor
David Lindley	American musician
Dido	English singer-songwriter
The Neptunes	band
Sergei Rachmaninoff	Russian composer, pianist, and conductor
Stephen Schwartz	American musical theatre lyricist and composer
Alanis Morissette	Canadian-American singer-songwriter
Bryan Adams	Canadian singer-songwriter
Danny Elfman	American composer, record producer, and actor
Jerry Hey	American musician
Pink	American singer, songwriter, and actress
Henry Mancini	American composer, conductor and arranger
Glenn Danzig	Musician
Vince Gill	American musician
Ennio Morricone	Italian composer, orchestrator and conductor
Jessye Norman	American opera singer
Q-Tip	American musician
George Fenton	British film composer
Georges Delerue	French composer
Buddy Guy	American blues guitarist and singer
Aphex Twin	British electronic musician
Melissa Etheridge	Musician
John Mayer	guitarist and singer/songwriter
Joey Jordison	American musician
Emily Robison	musician, songwriter, record producer
Tom Petty	American musician
Craig Armstrong	British composer
Moby	Activist, American musician, DJ and photographer
Christophe Beck	Canadian composer
Loudon Wainwright III	American singer-songwriter, humorist, and actor
Chad Hugo	American record producer and songwriter
Emilio Estefan	Cuban-American musician, producer, actor, entrepreneur
Randy Travis	American singer
Bill Nelson	English artist and musician
T-Bone Burnett	American musician
Iggy Pop	American rock singer-songwriter, musician, and actor
Charlie Parker	American jazz saxophonist and composer
Tom Arnold	American actor and comedian
Judd Nelson	American actor
Gary Numan	English singer, composer and musician
Jay Z	rapper, entrepreneur
Alan Parsons	audio engineer, musician, and record producer from England
Kid Rock	American musician
Claude Debussy	French composer
Pat Metheny	American jazz musician
Akon	American R&B and hip hop artist of Senegalese origin
George Harrison	British musician, former member of the Beatles
Bill Withers	American singer-songwriter and musician
Ben Harper	singer-songwriter and musician
Irving Berlin	American composer
Vangelis	Greek composer of electronic, progressive, ambient, jazz, pop rock, and orchestral music
Georg Solti	Hungarian orchestral and operatic conductor
Mychael Danna	Canadian composer
Herbert Stothart	American composer
Rebecca Romijn	American actress, model
Dan Wilson	American musician
India.Arie	American singer-songwriter, guitarist, and flautist
Shankar Jaikishan	Indian jazz musician and composer
Harry Connick, Jr.	American singer, conductor, pianist, actor, and composer
Martie Maguire	American musician
Nick Lachey	American singer, actor, producer and television personality
Robert Cray	American blues guitarist and singer
Isaac Hayes	singer-songwriter, arranger, record producer, and actor
Mark Isham	American trumpeter, synthesist, and film composer.
David Buttolph	American composer
Jeff Bhasker	American musician
Stephen Stills	American multi-instrumentalist and singer/songwriter
Michel Legrand	French composer
Dmitri Shostakovich	Russian composer and pianist
John Zorn	American composer, saxophonist and bandleader
Marilyn Bergman	American composer, songwriter and author
Dave Matthews	American singer-songwriter, musician and actor
Daniel Barenboim	Israeli Argentine-born pianist and conductor
Swizz Beatz	American rapper
John Corbett	born 1961; American actor and country music singer
Richard Wright	musician, member of Pink Floyd
Joseph Haydn	Austrian composer
Michel Colombier	French composer
R. Kelly	American singer-songwriter, record producer, rapper and former professional basketball player
Marvin Hatley	American composer
Keith Richards	British rock musician, member of The Rolling Stones
Robert B. Sherman	American songwriter, screenwriter and publisher
Julieta Venegas	Mexican singer-songwriter
Herb Alpert	American musician
Jamie Lee Curtis	actress, author
Frank Loesser	American songwriter
Juelz Santana	American rapper
Merle Haggard	American country music song writer, singer and musician
Nat King Cole	American singer and jazz pianist
Nina Simone	American singer, songwriter, pianist, arranger, and civil rights activist
Aldo Nova	Canadian musician
Bernard Herrmann	American composer
Basil Poledouris	American composer
Maurice Gibb	British musician
Dr. John	Born 1940; American singer-songwriter, pianist and guitarist
Ashlee Simpson	American singer, actress, dancer
Lenny Kravitz	American singer-songwriter and multi-instrumentalist
Larry Klein	American music producer, songwriter and bass guitar player
BT	American musician
Garth Brooks	American country music artist
Tim Blake Nelson	American director, writer and actor
Keith Moon	English musician
John Cale	Welsh composer, singer-songwriter and record producer
Carlos Santana	Mexican and American rock musician
Dave Grohl	American rock musician, multi-instrumentalist, and singer-songwriter
Luther Vandross	American singer, songwriter, and record producer
Burt Bacharach	American pianist, composer and music producer
Sean Lennon	American composer and musician, son of the late John Lennon
Mike Barker	American film producer
Waddy Wachtel	American musician
Victoria Beckham	English businesswoman, fashion designer and singer
Les Claypool	American musician
Roger Taylor	English singer-songwriter and multi-instrumentalist
Sheila E.	American singer and percussionist
Jamie Cullum	musician
Marilyn Manson	American rock band
Hogan Sheffer	American actor
Dean Cain	American actor and player of American football
Steve Howe	English guitarist
Carrie Underwood	American country music singer
Chris Cornell	singer-songwriter, musician
Raphael Saadiq	American singer, songwriter, musician, guitarist, and record producer
Ira Gershwin	American lyricist
Mary-Ellis Bunim	Television producer
Ryan Tedder	American singer-songwriter and record producer
Victor Miller	American screenwriter
Shannen Doherty	actress, director
Tracy Chapman	American singer-songwriter
Richie Sambora	musician, songwriter
CeCe Winans	American gospel singer
Noel Gallagher	British musician
Glen Campbell	American musician, songwriter, actor
Outkast	hip hop duo
Nick Cave	Australian musician
Ricky Nelson	actor, musician, singer
Van Morrison	Northern Irish singer-songwriter and musician
Alba Corral	Putama
Bill Conti	American composer
Carl Stalling	Composer, arranger
Ry Cooder	American guitarist, singer and composer
Ralph Burns	American musician
Dolly Parton	American singer-songwriter and actress
Franz Schubert	Austrian composer
John Paul Jones	Multi-instrumentalist, Songwriter, Producer, member of Led Zeppelin
Pete Wentz	American musician
David Sanborn	American saxophonist
Mike Portnoy	American drummer
David Bowie	British musician, actor, record producer and arranger
Bob Dylan	American singer-songwriter, musician, author, and artist
Joe Hisaishi	Japanese composer and musician
Milt Franklyn	Music composer and arranger
Beck	American Musician (b.1970)
Booker T. Jones	American musician
Trevor Rabin	South African-born musician, singer-songwriter, producer, and film score composer
Faith Hill	American singer
Sammy Cahn	American lyricist, songwriter, musician
Matthew Bellamy	English singer-songwriter
George Benson	American musician
Bo Derek	actress
Stevie Ray Vaughan	American guitarist, songwriter and recording artist
Olivia Newton-John	English-born Australian singer, songwriter and actress
Jermaine Jackson	singer and member of The Jackson 5 from the United States
Oscar Hammerstein II	American librettist, theatrical producer, and (usually uncredited) theatre director of musicals
Jimmy Van Heusen	American composer
KT Tunstall	Scottish singer-songwriter and guitarist
Gary Busey	American actor
Kenny Loggins	American musician
Jesse McCartney	No description defined
William J. Bell	American screenwriter
Lil Wayne	American rapper, singer, songwriter, author, record producer, record executive, entrepreneur, investor, composer, and businessperson.
James Lawrence Levine	American conductor and pianist
Felix Mendelssohn Bartholdy	German composer, pianist and organist
Debbie Harry	American singer-songwriter and actress
John Williams	American composer, conductor and pianist
Jason Mraz	American singer-songwriter
Boyz II Men	R&B vocal group from the United States
David Beckham	English footballer
Bill Payne	American musician
Maurice Jarre	French composer
Gil Scott-Heron	American musician, poet and author
Yolanda Adams	American gospel singer and actress
Alison Krauss	American bluegrass-country singer-songwriter and musician
Jack Nitzsche	American musician
Gwen Stefani	American singer-songwriter
Herbie Hancock	American pianist, keyboardist, bandleader and composer
Rob Thomas	American singer
Malcolm Arnold	English composer
Loretta Lynn	American country-music singer-songwriter
